rec_id,obc_timeStamp,gps_utcTime,gps_latitude,gps_longitude,gps_fixQuality,gps_dilution,gps_speed,lfm_netCounts,lfm_posCounts,lfm_temperature,lfm_integratedCorrFlow,lfm_instantFlow,gfs_gasFlow,gfs_gasTemp,gfs_netGasVolume,jm3_netjoule,jm3_voltage,jm3_current,sup_VoltageIn,all_energy,message_id,volt_voltage,volt_difference,Lap,Time
669,1688797117.75,06.18.36,-8.89590005,116.302888,1.0,0.7,12.3,4814.0,4848.0,29.0,0.7889,0.0,,,,555.84,13234.0,-18.0,16085.0,0.880742,504_202307_08_0617_35_0000620,,,2,6.310486111146666
670,1688797117.85,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4814.0,4848.0,29.0,0.7889,0.0,,,,555.838,13238.0,-18.0,16077.0,0.880742,504_202307_08_0617_35_0000621,,,2,6.310513888853333
671,1688797117.95,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4814.0,4848.0,29.0,0.7889,0.0,,,,555.838,13238.0,-18.0,16081.0,0.880742,504_202307_08_0617_35_0000622,,,2,6.310541666702222
672,1688797118.04,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4814.0,4848.0,29.0,0.7889,0.0,,,,555.838,13238.0,-19.0,16060.0,0.880742,504_202307_08_0617_35_0000623,,,2,6.310566666666666
673,1688797118.14,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4814.0,4848.0,29.0,0.7889,0.0,,,,555.838,13238.0,-19.0,16102.0,0.880742,504_202307_08_0617_35_0000624,,,2,6.310594444444444
674,1688797118.25,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4814.0,4848.0,29.0,0.7889,0.0,,,,555.838,13237.0,-21.0,16077.0,0.880742,504_202307_08_0617_35_0000625,,,2,6.310624999964444
675,1688797118.34,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4815.0,4849.0,29.0,0.7891,0.0983,,,,555.838,13237.0,-21.0,16077.0,0.880942,504_202307_08_0617_35_0000626,,,2,6.31065
676,1688797118.44,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4815.0,4849.0,29.0,0.7891,0.0,,,,555.836,13240.0,-17.0,16098.0,0.880942,504_202307_08_0617_35_0000627,,,2,6.310677777777777
677,1688797118.55,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4815.0,4849.0,29.0,0.7891,0.0,,,,555.836,13240.0,-17.0,16114.0,0.880942,504_202307_08_0617_35_0000628,,,2,6.310708333297778
678,1688797118.65,06.18.37,-8.89588995,116.302931567,1.0,0.7,16.3,4815.0,4849.0,29.0,0.7891,0.0,,,,555.836,13241.0,-20.0,16081.0,0.880942,504_202307_08_0617_35_0000629,,,2,6.310736111146666
